,yield
0,3813.165795
1,4947.605663
2,3866.798965
3,4303.94303
4,3436.493543
5,2825.003738
8,4234.868585
9,5356.871861
10,4057.555205
11,3941.255122
12,4768.594369
13,3720.711588
14,3900.344042
15,3387.785165
19,4310.625398
20,4830.959809
21,3911.422247
22,4051.551293
23,3837.512961
24,3269.271761
25,4503.161856
26,5126.993178
27,4248.355054
28,4476.811464
29,3662.183125
30,2988.05944
31,3049.260316
33,4898.835857
34,5831.7066
35,4334.841218
36,5246.521458
37,4356.945873
38,3822.981667
39,3182.698648
40,4870.625368
41,5739.924933
42,4546.786741
43,5360.873908
44,4045.479657
45,3385.364224
46,3385.148001
48,5221.357411
49,6318.708722
50,4705.626533
51,5996.078548
52,6691.043218
53,5501.878077
54,6010.760082
55,4999.156215
56,3968.330182
57,3784.119353
58,3139.432546
59,6125.695384
60,7041.380179
61,5876.960007
62,6244.195761
63,5556.372277
64,5086.609905
65,5482.081299
66,4247.508926
67,6578.235221
68,7267.28344
69,5746.777027
70,6564.958302
71,5347.718939
72,4350.42467
73,4177.015203
74,3496.352359
75,7016.89385
76,7570.48492
77,6198.064956
78,6801.323934
79,6030.980735
80,5728.748277
81,5647.712261
82,4667.724945
83,6986.809961
84,7660.886044
85,6626.506846
86,7122.490558
87,5852.874202
88,4684.893205
89,4590.823341
90,3708.205024
91,7022.189731
92,7825.874922
93,6394.077909
94,7152.132587
95,6475.894556
96,6093.315271
97,6254.829217
98,4868.211449
99,7451.725625
100,8263.289742
101,6960.107506
102,7301.106216
103,6443.256903
104,5150.942889
105,4853.807603
106,4068.350665
107,7502.24389
108,8174.463377
109,6898.390949
110,6870.342118
111,6808.263611
112,6400.022213
113,6480.80815
114,5063.851086
115,7924.516776
116,8247.521164
117,7230.132504
118,7945.187841
119,6673.303998
120,5217.139763
121,4905.498714
122,4357.822918
123,7829.514
124,8621.81568
125,6922.846792
126,7215.409709
127,7322.609141
128,7044.567605
129,6615.690061
130,5377.270863
131,6026.063649
132,6752.177036
133,5643.360448
134,6277.168674
135,5085.844733
136,4079.912436
137,4016.361596
138,3049.397713
139,6529.982317
140,7181.425216
141,5914.16491
142,6569.249674
143,5864.128447
144,5402.484081
145,5674.028523
146,4340.82151
147,6683.200614
148,7411.174571
149,5934.010884
150,6795.881873
151,5534.804936
152,4673.380523
153,4228.818878
154,3494.942958
155,7024.748359
156,7669.811819
157,6376.662565
158,6746.454602
159,6299.226358
160,5817.185275
161,5741.210297
162,4802.604302
163,7198.422854
164,7765.256323
165,6281.91711
166,6822.971627
167,6098.113172
168,4850.037463
169,4769.318273
170,3826.172262
171,7235.775645
172,7935.094765
173,6574.182468
174,7130.830014
175,6628.76363
176,6331.867217
177,6132.997934
178,4888.503031
179,7556.109909
180,8064.73881
181,7107.609758
182,7637.633381
183,6524.295322
184,5347.513929
185,5199.534037
186,4179.185917
187,7548.34706
188,8175.456195
189,6836.397281
190,7013.002812
191,6836.600814
192,6540.105445
193,6188.477141
194,5200.578495
195,7715.810883
196,8357.067222
197,7399.875886
198,7517.440772
199,6717.446272
200,5601.205307
201,5225.163069
202,4393.527431
203,7907.240674
204,8212.792891
205,6846.006857
206,7028.673498
207,7400.775379
208,7048.870716
209,6779.981658
210,5548.122012
211,7380.633803
212,7793.442058
213,7161.961901
214,7243.226111
215,6368.849821
216,4975.885376
217,4700.576149
218,3804.610168
219,7159.336664
220,7933.302352
221,6539.11085
222,6696.23571
223,6638.656487
224,6361.489513
225,6320.238926
226,4952.9856
227,7541.667404
228,8109.230504
229,7163.9441
230,7626.617335
231,6626.851498
232,5291.89688
233,5323.300337
234,4100.759169
235,7560.205645
236,7895.020796
237,6731.712208
238,6677.624427
239,7162.433638
240,6735.24371
241,6771.722906
242,5322.840434
243,7761.15796
244,8002.997103
245,7483.736315
246,7888.414929
247,6862.908392
248,5828.732121
249,5454.633853
250,4745.460284
251,7713.479598
252,7858.685578
253,7103.508943
254,7136.984453
255,7172.435009
256,7175.068982
257,6621.250814
258,5830.488555
259,7207.420303
260,7732.225218
261,6860.396428
262,7570.608619
263,6255.890642
264,5124.854901
265,5151.386473
266,4042.842643
267,7127.164572
268,7690.174905
269,6589.278977
270,6830.966046
271,6887.466493
272,6451.100519
273,6187.951881
274,5367.618255
275,7554.4683
276,8013.626308
277,7231.027782
278,7297.732097
279,6583.457887
280,5330.369306
281,5446.697471
282,4568.672172
283,7425.751937
284,7588.360961
285,6771.674965
286,6941.824131
287,6942.396304
288,6708.241295
289,6461.670875
290,5313.378277
291,7897.9319
292,8440.960969
293,7529.175053
294,7675.963523
295,6901.658937
296,5811.211473
297,5711.85174
298,4740.015047
299,7835.767792
300,7878.817681
301,6770.23332
302,6614.219308
303,7206.901956
304,7234.255248
305,6482.705721
306,5596.226357
307,7381.973331
308,7738.881709
309,6806.492688
310,7284.814779
311,6514.638993
312,5136.93247
313,5192.883148
314,4281.52619
315,7417.81497
316,7639.547887
317,6920.084268
318,6598.854044
319,6671.072643
320,6645.569975
321,6500.097782
322,5345.991061
323,7440.712007
324,7963.939307
325,7369.685585
326,7532.829529
327,6554.976861
328,5729.715055
329,5399.861131
330,4580.392997
331,7428.834423
332,7479.93417
333,6749.518191
334,6869.777604
335,6929.554801
336,6852.979712
337,6335.296388
338,5305.743635
339,7914.171177
340,8254.05731
341,7558.005885
342,7861.465383
343,6799.729175
344,5729.569636
345,5675.721494
346,4813.452846
347,7443.624456
348,7706.881369
349,6757.073662
350,6620.098774
351,7183.10038
352,7019.694384
353,6608.90751
354,5535.05665
355,8134.726547
356,8711.208961
357,7406.902484
358,8090.417127
359,6848.626223
360,5527.425034
361,5296.611091
362,4480.07
363,7920.061748
364,8652.043342
365,7222.004621
366,7290.10652
367,7510.790568
368,7174.664896
369,7080.040043
370,5665.219597
371,8298.206974
372,8671.716806
373,7714.323102
374,8211.0795
375,7270.318318
376,5747.56017
377,5777.3754
378,5061.72061
379,7829.472937
380,8634.775829
381,7608.621822
382,7555.171595
383,7604.315838
384,7521.714355
385,7219.760394
386,6060.283822
387,8465.885625
388,8969.401842
389,8166.597859
390,8605.199951
391,7576.39253
392,6249.470817
393,6071.228897
394,5199.792105
395,8307.38018
396,8743.520983
397,7667.83619
398,7416.707761
399,7969.025753
400,7778.349159
401,7298.002602
402,6033.778564
403,8007.206207
404,8408.383412
405,7455.416383
406,8104.934974
407,7064.169775
408,5735.133035
409,5504.750825
410,4433.536966
411,7903.513509
412,8538.462001
413,7434.34904
414,7357.358903
415,7441.509419
416,7150.9817
417,6979.324788
418,6024.945992
419,8116.531753
420,8823.690108
421,7998.350591
422,8284.85461
423,7303.58812
424,5954.513153
425,5898.015732
426,4936.105576
427,8157.236939
428,8489.691924
429,7241.370531
430,7317.951035
431,7564.774933
432,7557.46014
433,6772.933474
434,5882.965617
435,8318.798885
436,8655.676437
437,8254.126537
438,8562.370774
439,7340.460767
440,6146.831516
441,5807.006933
442,5329.263197
443,8173.589103
444,8413.659665
445,7565.104163
446,7457.506063
447,7800.501276
448,7617.395889
449,7381.379396
450,5971.394016
451,7884.567722
452,8570.913533
453,7616.705992
454,8086.388809
455,7101.757831
456,5566.52275
457,5946.052257
458,6392.356672
459,5205.320295
460,5524.145415
461,4920.136635
462,3834.574804
463,3626.366534
464,2946.926015
465,6037.686131
466,6595.901577
467,5403.69852
468,5498.460221
469,5203.876814
470,4694.608192
471,4952.013044
472,4290.964878
473,5920.487176
474,6731.618436
475,5636.308737
476,5773.625809
477,4966.779453
478,3998.054156
479,3723.523376
480,3276.362058
481,6115.947066
482,6747.597792
483,5867.997216
484,5628.882801
485,5715.008404
486,5234.746964
487,5016.741592
488,4167.451239
489,6117.4759
490,6826.208733
491,5632.459174
492,6325.266131
493,5424.123512
494,4200.973747
495,4178.772056
496,3519.431306
497,6239.533493
498,7071.615319
499,5462.133945
500,5948.114471
501,5429.681612
502,5381.272664
503,5395.33158
504,4460.914573
505,6102.762823
506,6109.850467
507,5453.993821
508,5773.008415
509,4930.619033
510,3764.319732
511,3937.915393
512,3238.028147
513,5964.791108
514,6526.988187
515,5552.723871
516,5575.394471
517,5299.661325
518,4968.601171
519,4936.01177
520,3895.62684
521,5767.178357
522,6015.224564
523,5912.433762
524,5637.984297
525,5018.45303
526,4162.761559
527,4278.763209
528,3322.946202
529,6237.206052
530,6801.49205
531,5336.974729
532,5722.576764
533,5602.022929
534,5439.421503
535,4924.357362
536,4112.893488
537,6320.961115
538,6520.897596
539,5970.681858
540,6072.83443
541,5128.163506
542,4387.741853
543,4576.100711
544,3244.329258
545,6370.898867
546,7293.53617
547,5892.160998
548,6058.648764
549,5503.095831
550,5496.085062
551,5663.065794
552,4336.100956
553,5942.421625
554,6595.456285
555,5333.973572
556,6132.417383
557,5042.640339
558,4125.757119
559,3828.16556
560,3447.082101
561,6292.429621
562,6619.846953
563,5628.710525
564,5781.859649
565,5330.062031
566,4899.118995
567,4945.794431
568,4282.700632
569,6202.327017
570,6306.550622
571,5514.667479
572,6079.085257
573,5046.457343
574,4232.762305
575,3948.986911
576,3502.082918
577,6107.382466
578,6157.054843
579,5556.374604
580,5741.314175
581,5529.066137
582,5538.913011
583,5178.270314
584,4323.930991
585,6182.750871
586,7004.015537
587,5750.881068
588,6493.472526
589,5393.564335
590,4808.609022
591,4572.126366
592,3511.537898
593,6493.637124
594,6880.775896
595,5684.143505
596,5732.24032
597,6135.699979
598,5720.723161
599,5455.118908
600,4245.285732
601,5772.910164
602,6521.291119
603,5498.438442
604,6019.262475
605,5236.03334
606,4305.511821
607,4056.834271
608,3501.179921
609,6397.355689
610,6279.338501
611,5834.98164
612,5902.33288
613,5639.445205
614,5005.329973
615,4867.94772
616,4574.813873
617,6190.665974
618,6254.655109
619,5696.026057
620,6315.233209
621,5492.81699
622,4320.874157
623,4587.385566
624,3712.997856
625,6301.034422
626,6752.016952
627,5388.50369
628,5931.752803
629,5837.215029
630,5154.975914
631,5932.239093
632,4163.823044
633,6155.896087
634,6994.248011
635,5649.03716
636,6515.261449
637,5498.583951
638,4584.453554
639,4218.327986
640,3680.560247
641,6236.707106
642,7005.038599
643,6013.407593
644,6260.473628
645,5830.89362
646,5531.351743
647,5495.365345
648,4865.399969
649,6235.452776
650,6821.808099
651,6328.893321
652,6528.79888
653,5428.106015
654,4558.980717
655,4062.739528
656,3396.729889
657,6503.272041
658,7085.063077
659,5791.456731
660,6251.611839
661,6409.140005
662,5794.891846
663,5569.139254
664,4858.240729
665,6575.592668
666,6998.378752
667,6226.285142
668,6643.901898
669,5946.158422
670,4696.443943
671,4560.22361
672,3983.097848
673,6992.823141
674,7536.096872
675,6491.223531
676,6702.780378
677,6263.807879
678,5966.711278
679,5695.564416
680,4737.639245
681,6580.396963
682,7628.6476
683,6465.372048
684,6903.873395
685,6020.87569
686,5004.154338
687,4913.222919
688,4010.552148
689,6958.174787
690,7804.627951
691,6493.258285
692,6449.041569
693,6327.008075
694,5919.430755
695,6060.641491
696,4789.596969
697,6412.473451
698,7117.950381
699,6274.934837
700,6422.922094
701,5645.146626
702,4493.644089
703,4489.22384
704,3748.465467
705,6608.041629
706,7565.211237
707,5911.49359
708,6543.971817
709,5916.862241
710,5597.022161
711,5739.680287
712,4641.001514
713,6948.2288
714,7236.090253
715,6327.477365
716,7071.833949
717,5755.700162
718,4926.279024
719,4575.769909
720,4201.435956
721,6909.429998
722,6842.760562
723,5865.384715
724,6467.654764
725,6591.781181
726,6150.842053
727,5544.621725
728,4644.601168
729,6754.448935
730,7423.469876
731,6347.560759
732,7415.894412
733,6097.442847
734,5033.685563
735,5009.962222
736,3901.989548
737,6919.34518
738,7771.010274
739,6034.642135
740,6189.779795
741,6515.305873
742,5862.805454
743,5945.89951
744,5330.631336
745,6707.592585
746,7007.66825
747,6594.044595
748,6687.259259
749,5605.221001
750,4710.858646
751,4418.44126
752,3631.905444
753,6663.000678
754,7184.013843
755,6292.960756
756,6374.444297
757,6180.951419
758,5700.243243
